# Energy_keV Intensity
10.0000 0.0000
11.0000 0.0000
12.0000 0.0001
13.0000 0.0010
14.0000 0.0063
15.0000 0.0335
16.0000 0.1534
17.0000 0.5976
18.0000 1.9841
19.0000 5.6135
20.0000 13.5335
21.0000 27.8037
22.0000 48.6753
23.0000 72.6155
24.0000 92.3154
25.0000 100.0201
26.0000 92.4037
27.0000 72.9735
28.0000 49.8657
29.0000 31.1718
30.0000 21.6536
31.0000 22.2957
32.0000 31.1892
33.0000 44.1665
34.0000 55.5404
35.0000 60.0335
36.0000 55.3932
37.0000 43.5700
38.0000 29.2057
39.0000 16.6848
40.0000 8.1335
41.0000 3.4294
42.0000 1.4295
43.0000 1.1522
44.0000 2.3374
45.0000 5.4335
46.0000 11.1252
47.0000 19.4707
48.0000 29.0460
49.0000 36.9247
50.0000 40.0000
51.0000 36.9247
52.0000 29.0460
53.0000 19.4701
54.0000 11.1215
55.0000 5.4134
56.0000 2.2454
57.0000 0.7936
58.0000 0.2390
59.0000 0.0614
60.0000 0.0134
61.0000 0.0025
62.0000 0.0004
63.0000 0.0001
64.0000 0.0000
65.0000 0.0000
66.0000 0.0000
67.0000 0.0000
68.0000 0.0000
69.0000 0.0000
70.0000 0.0000
