# Energy_keV Intensity
1.0000 0.0000
1.7000 0.0000
2.4000 0.0000
3.1000 0.0000
3.8000 0.0000
4.5000 0.0000
5.2000 0.0000
5.9000 0.0000
6.6000 0.0000
7.3000 0.0000
8.0000 0.0000
8.7000 0.0000
9.4000 0.0000
10.1000 0.0000
10.8000 0.0000
11.5000 0.0000
12.2000 0.0000
12.9000 0.0000
13.6000 0.0000
14.3000 0.0000
15.0000 0.0000
15.7000 0.0000
16.4000 0.0000
17.1000 0.0001
17.8000 0.0005
18.5000 0.0020
19.2000 0.0071
19.9000 0.0229
20.6000 0.0681
21.3000 0.1877
22.0000 0.4781
22.7000 1.1262
23.4000 2.4528
24.1000 4.9393
24.8000 9.1965
25.5000 15.8319
26.2000 25.1996
26.9000 37.0855
27.6000 50.4623
28.3000 63.4865
29.0000 73.8493
29.7000 79.4261
30.4000 78.9825
31.1000 72.6190
31.8000 61.7335
32.5000 48.5225
33.2000 35.2627
33.9000 23.6941
34.6000 14.7203
35.3000 8.4556
36.0000 4.4908
36.7000 2.2052
37.4000 1.0012
38.1000 0.4203
38.8000 0.1631
39.5000 0.0585
40.2000 0.0194
40.9000 0.0060
41.6000 0.0017
42.3000 0.0004
43.0000 0.0001
43.7000 0.0000
44.4000 0.0000
45.1000 0.0000
45.8000 0.0000
46.5000 0.0000
47.2000 0.0002
47.9000 0.0007
48.6000 0.0024
49.3000 0.0084
50.0000 0.0268
50.7000 0.0791
51.4000 0.2155
52.1000 0.5429
52.8000 1.2647
53.5000 2.7238
54.2000 5.4240
54.9000 9.9864
55.6000 17.0002
56.3000 26.7578
57.0000 38.9402
57.7000 52.3958
58.4000 65.1848
59.1000 74.9804
59.8000 79.7444
60.5000 78.4159
61.2000 71.2950
61.9000 59.9330
62.6000 46.5826
63.3000 33.4759
64.0000 22.2430
64.7000 13.6648
65.4000 7.7619
66.1000 4.0765
66.8000 1.9795
67.5000 0.8887
68.2000 0.3689
68.9000 0.1416
69.6000 0.0502
70.3000 0.0165
