# Energy_keV Intensity
1.0000 0.0000
1.5000 0.0000
2.0000 0.0000
2.5000 0.0000
3.0000 0.0000
3.5000 0.0000
4.0000 0.0000
4.5000 0.0000
5.0000 0.0000
5.5000 0.0000
6.0000 0.0000
6.5000 0.0000
7.0000 0.0000
7.5000 0.0000
8.0000 0.0000
8.5000 0.0000
9.0000 0.0000
9.5000 0.0000
10.0000 0.0000
10.5000 0.0000
11.0000 0.0000
11.5000 0.0000
12.0000 0.0001
12.5000 0.0001
13.0000 0.0004
13.5000 0.0010
14.0000 0.0025
14.5000 0.0059
15.0000 0.0134
15.5000 0.0293
16.0000 0.0614
16.5000 0.1236
17.0000 0.2391
17.5000 0.4445
18.0000 0.7941
18.5000 1.3631
19.0000 2.2484
19.5000 3.5640
20.0000 5.4295
20.5000 7.9511
21.0000 11.1951
21.5000 15.1607
22.0000 19.7570
22.5000 24.7945
23.0000 29.9986
23.5000 35.0457
24.0000 39.6206
24.5000 43.4797
25.0000 46.5041
25.5000 48.7246
26.0000 50.3073
26.5000 51.4999
27.0000 52.5535
27.5000 53.6413
28.0000 54.8014
28.5000 55.9226
29.0000 56.7783
29.5000 57.0996
30.0000 56.6615
30.5000 55.3560
31.0000 53.2279
31.5000 50.4623
32.0000 47.3309
32.5000 44.1146
33.0000 41.0307
33.5000 38.1850
34.0000 35.5619
34.5000 33.0532
35.0000 30.5095
35.5000 27.7989
36.0000 24.8518
36.5000 21.6818
37.0000 18.3804
37.5000 15.0902
38.0000 11.9691
38.5000 9.1562
39.0000 6.7475
39.5000 4.7871
40.0000 3.2695
40.5000 2.1529
41.0000 1.3748
41.5000 0.8678
42.0000 0.5723
42.5000 0.4445
43.0000 0.4609
43.5000 0.6189
44.0000 0.9350
44.5000 1.4403
45.0000 2.1734
45.5000 3.1699
46.0000 4.4501
46.5000 6.0056
47.0000 7.7883
47.5000 9.7048
48.0000 11.6189
48.5000 13.3656
49.0000 14.7729
49.5000 15.6903
50.0000 16.0161
50.5000 15.7183
51.0000 14.8435
51.5000 13.5126
52.0000 11.9052
52.5000 10.2377
53.0000 8.7404
53.5000 7.6393
54.0000 7.1431
54.5000 7.4346
55.0000 8.6615
55.5000 10.9219
56.0000 14.2439
56.5000 18.5597
57.0000 23.6816
57.5000 29.2912
58.0000 34.9508
58.5000 40.1424
59.0000 44.3341
59.5000 47.0612
60.0000 48.0054
60.5000 47.0519
61.0000 44.3106
61.5000 40.0934
62.0000 34.8553
62.5000 29.1135
63.0000 23.3641
63.5000 18.0149
64.0000 13.3458
64.5000 9.4991
65.0000 6.4961
65.5000 4.2682
66.0000 2.6945
66.5000 1.6343
67.0000 0.9524
67.5000 0.5332
68.0000 0.2868
68.5000 0.1483
69.0000 0.0736
69.5000 0.0351
70.0000 0.0161
70.5000 0.0071
71.0000 0.0030
71.5000 0.0012
72.0000 0.0005
72.5000 0.0002
73.0000 0.0001
73.5000 0.0000
74.0000 0.0000
74.5000 0.0000
75.0000 0.0000
75.5000 0.0000
76.0000 0.0000
76.5000 0.0000
77.0000 0.0000
77.5000 0.0000
78.0000 0.0000
78.5000 0.0000
79.0000 0.0000
79.5000 0.0000
80.0000 0.0000
